start_time,end_time,Country,region
2018-01-03T00:00:00,2018-01-04T00:00:00,India,"Aurangabad, Maharashtra"
2018-01-03T13:30:00,2018-01-05T16:30:00,South Sudan,Nationwide
2018-01-04T00:00:00,2018-01-05T00:00:00,India,"Kolhapur, Maharashtra"
2018-01-08T00:00:00,2018-01-09T18:00:00,India,Kashmir Valley
2018-01-09T05:00:00,2018-01-09T22:00:00,Philippines,Quiapo
2018-01-20T22:43:00,2018-01-24T20:42:00,DRC,Nationwide
2018-01-25T00:00:00,2018-01-26T00:00:00,India,Kashmir Valley
2018-01-25T00:00:00,2018-01-26T00:00:00,India,Kashmir Valley
2018-01-27T19:15:00,2018-01-28T19:00:00,India,"Kasganj, Uttar Pradesh"
2018-02-03T12:00:00,2018-02-04T00:00:00,India,"Kupwara and Baramulla, Jammu and Kashmir"
2018-02-18T00:00:00,2018-02-19T00:00:00,India,"Tonk District, Rajasthan"
2018-02-25T07:45:00,2018-02-25T18:45:00,DRC,Nationwide
2018-03-04T00:00:00,2018-03-07T00:00:00,India,Kashmir Valley
2018-03-07T07:15:00,2018-03-15T07:30:00,Sri Lanka,Nationwide
2018-03-12T00:00:00,2018-03-12T21:00:00,India,"Srinagar, Jammu and Kashmir"
2018-03-17T22:30:00,2018-03-18T19:00:00,Indonesia,Bali
2018-03-24T00:00:00,2018-03-26T00:00:00,India,"Bhadrak, Odisha"
2018-03-26T00:00:00,2018-03-26T23:00:00,India,"Aurangabad, Bihar"
2018-03-28T00:00:00,2018-06-30T23:59:00,Chad,Nationwide
2018-03-28T00:00:00,2018-03-28T19:30:00,India,"Paschim Bardhaman, West Bengal"
2018-03-28T16:30:00,2018-04-04T15:00:00,India,"Asansol and Raniganj, West Bengal"
2018-03-30T11:00:00,2018-04-01T11:00:00,Sierra Leone,Nationwide
2018-04-01T01:30:00,2018-04-02T01:30:00,India,"Shopian and Pulwama, Jammu and Kashmir"
2018-04-01T12:30:00,2018-04-02T18:30:00,India,Punjab
2018-04-02T00:00:00,2018-04-03T01:00:00,India,Rajasthan
2018-04-02T09:30:00,2018-04-03T09:30:00,India,"Meerut, Uttar Pradesh"
2018-04-04T21:00:00,2018-04-05T14:00:00,India,"Morena District, Madhya Pradesh"
2018-04-09T01:00:00,2018-04-11T09:00:00,India,"Gwalior, Morena, Jabalpur, and Bhind Districts, Madhya Pradesh"
2018-04-10T00:00:00,2018-04-11T11:00:00,India,"Saharanpur, Uttar Pradesh"
2018-04-10T00:00:00,2018-04-10T23:00:00,India,"Jaipur, Rajasthan"
2018-04-11T03:00:00,2018-04-13T22:00:00,India,"Anantag and Kulgam Districts, Jammu and Kashmir"
2018-04-14T00:00:00,2018-04-14T23:00:00,India,"Meerut, Uttar Pradesh"
2018-04-14T15:00:00,2018-04-17T10:00:00,India,"Kapurthala, Hjalandhar, Hoshiarpur Districts, Punjab"
2018-04-29T02:00:00,2018-04-30T10:00:00,India,"Jalandhar, Hoshiarpur, and Kapurthala Districts, Punjab"
2018-05-04T17:30:00,2018-05-06T11:00:00,India,"Aligarh, Uttaer Pradesh"
2018-05-05T22:00:00,2018-05-08T23:00:00,India,Kashmir Valley
2018-05-09T17:00:00,2018-05-11T19:00:00,India,"Saharanpur, Uttar Pradesh"
2017-06-18T00:00:00,2017-09-25T19:00:00,India,"Darjeeling, West Bengal"
2017-07-04T17:00:00,2017-07-17T17:00:00,India,"North 24 Parganas, West Bengal"
2017-07-06T17:00:00,2017-07-07T06:00:00,India,Kashmir Valley
2017-07-07T15:00:00,2017-07-08T17:00:00,India,Kashmir Valley
2017-07-11T15:40:00,2017-07-11T20:45:00,Syria,Nationwide
2017-07-13T09:00:00,2017-07-13T10:30:00,Algeria,Nationwide
2017-07-13T16:00:00,2017-07-13T17:30:00,Algeria,Nationwide
2017-07-14T16:00:00,2017-07-14T17:30:00,Algeria,Nationwide
2017-07-15T09:00:00,2017-07-15T10:30:00,Algeria,Nationwide
2017-07-15T16:00:00,2017-07-15T17:30:00,Algeria,Nationwide
2017-07-16T09:00:00,2017-07-16T09:00:00,Algeria,Nationwide
2017-07-16T16:00:00,2017-07-16T17:30:00,Algeria,Nationwide
2017-07-17T16:00:00,2017-07-17T17:30:00,Algeria,Nationwide
2017-07-18T16:00:00,2017-07-18T17:30:00,Algeria,Nationwide
2017-08-01T07:15:00,2017-08-02T12:15:00,India,Kashmir Valley
2017-08-02T14:00:00,2017-08-03T02:00:00,Vietnam,Nationwide
2017-08-07T23:15:00,2017-08-11T20:15:00,Democratic Republic of the Congo,Nationwide
2017-08-24T14:00:00,2017-08-29T06:00:00,India,"Haryana, Punjab, and the Union Territory of Chandigarh"
2017-08-26T02:30:00,2017-08-26T06:00:00,Iraq,Nationwide
2017-08-27T02:30:00,2017-08-27T06:00:00,Iraq,Nationwide
2017-08-28T02:30:00,2017-08-28T06:00:00,Iraq,Nationwide
2017-08-29T02:30:00,2017-08-29T06:00:00,Iraq,Nationwide
2017-08-30T02:30:00,2017-08-30T06:00:00,Iraq,Nationwide
2017-08-31T02:30:00,2017-08-31T06:00:00,Iraq,Nationwide
2017-09-05T20:20:00,2017-09-10T18:45:00,Togo,Nationwide
2017-09-07T04:00:00,2017-09-07T06:00:00,Iraq,Nationwide
2017-09-08T02:00:00,2017-09-10T20:15:00,India,"Sirsa, Haryana"
2017-09-09T00:30:00,2017-09-09T12:30:00,India,"Sopore, Jammu and Kashmir"
2017-09-09T02:15:00,2017-09-10T20:00:00,India,"Jaipur, Rajasthan"
2017-09-09T04:00:00,2017-09-09T06:00:00,Iraq,Nationwide
2017-09-10T04:00:00,2017-09-10T06:00:00,Iraq,Nationwide
2017-09-10T18:45:00,2017-09-11T18:45:00,India,"Sikar, Rajasthan"
2017-09-19T20:15:00,2017-09-22T12:00:00,Togo,Nationwide
2017-09-20T14:00:00,2017-12-31T23:59:00,Cameroon,Northwest and Southwest Provinces
2017-09-20T20:00:00,2017-09-24T17:15:00,India,Tripura State
2017-09-29T01:25:00,2017-10-02T00:00:00,Pakistan,Punjab and Sindh
2017-11-06T18:45:00,2017-11-09T06:45:00,India,"Shopian and Pulwama, Jammu and Kashmir"
2017-11-13T14:30:00,2017-11-20T16:20:00,Somaliland,Nationwide
2017-11-25T09:31:00,2017-11-26T17:39:00,Pakistan,Nationwide
2017-12-06T19:00:00,2017-12-08T18:41:00,India,"Rajsamand, Rajasthan"
2017-12-06T23:00:00,2017-12-14T12:00:00,Yemen,Nationwide
2017-12-11T00:00:00,2017-12-13T00:00:00,India,Northern Kashmir
2017-12-12T07:52:00,2017-12-31T23:59:00,Ethiopia,Nationwide
2017-12-13T20:00:00,2017-12-14T20:00:00,India,"Udaipur, Rajasthan"
2017-12-30T20:30:00,2017-12-31T23:59:00,Democratic Republic of the Congo,Nationwide
2017-12-30T23:35:00,2017-12-31T23:59:00,Iran,Nationwide
